sentiment,processed_reviews
negative,phil alien one quirky films humour based around oddness everything rather actual punchlinesat first odd pretty funny movie progressed find jokes oddness funny anymoreits low budget film never problem pretty interesting characters eventually lost interesti imagine film would appeal stoner currently partakingfor something similar better try brother another planet
negative,saw movie came recall scariest scene big bird eating men dangling helplessly parachutes right air horror horroras young kid going cheesy b films saturday afternoons still tired formula monster type movies usually included hero beautiful woman might daughter professor happy resolution monster died end care much romantic angle year old predictable plots love unintentional humorbut year later saw psycho came loved star janet leigh bumped early film sat took notice point since screenwriters making story make scary possible wellworn formula rules
negative,big fan bolls work many enjoyed movie postal maybe one boll apparently bought rights use far cry long ago even game even finsished people enjoyed killing mercs infiltrating secret research labs located tropical island warned far cry something mr boll schemed together along legion schmucks feeling loneley set mr boll invites three countrymen play players go names til schweiger udo kier ralf moellerthree names actually made selfs pretty big movie biz tale goes like jack carver played til schweiger yes carver german hail bratwurst eating dudes however find tils acting movie pretty badass people complained hes really staying true whole carver agenda saw carver first person perspective really know looked like kicking however storyline film beyond demented see evil mad scientist dr krieger played udo kier making geneticallymutatedsoldiers gms called performing topsecret research island reminds spoiler vancouver reason right palm trees instead got nice rich lumberjackwoods even gone far started cry mehehe go want stay true bolls shenanigans go see movie disappointed delivers true boll experience meaning suckthere things worth mentioning would imply boll good work areas film nice boat fighting scenes whole cromedalbino gms squad enters scene everything makes laugh movie far cry reeks scheisse poop simpletons far want take wiff go ahead way carver gets annoying sidekick makes want shoot first three minutes hes screen
negative,cast played shakespeareshakespeare losti appreciate trying bring shakespeare masses ruin something goodis scottish play favorite shakespeare know know certain rev bowdler hence bowdlerization tried something similar victorian erain words improve perfectioni write write least ten lines text english composition never forte keep going say movie saying goes cut
positive,fantastic movie three prisoners become famous one actors george clooney fan roll bad another good thing movie soundtrack man constant sorrow recommand movie everybody greetings bart
negative,kind drawn erotic scenes realize one amateurish unbelievable bits film ever seen sort like high school film project rosanna arquette thinking stock characters bizarre supposed midwest town pretty hard get involved one lessons learned brilliant insights stilted quite ridiculous lots skin intrigues videotaped nonsensewhat bisexual relationship nowhere heterosexual encounters absurd dance everybody playing stereotyped roles give one pass like million miles bad wasted film money could spent starving children aids africa
positive,films simply remade one bad film fails capture flavor terror film title liam neeson excellent always cast holds exception owen wilson bring right feel character luke major fault version strayed far shirley jackson story attempts grandiose lost thrill earlier film trade snazzier special effects say bad film enjoy friction terror older version much
negative,movie made one top awful movies horrible continuous minute fight one monster another chance character development busy running one sword fight another emotional attachment except big bad machine wanted destroy scenes blatantly stolen movies lotr star wars matrix examplesthe ghost scene end stolen final scene old star wars yoda obee one vader spider machine beginning exactly like frodo attacked spider return kings elijah wood victim films waitit hypnotizes stings victim wraps upuh helloand whole machine vs humans theme matrixor terminatorthere examples waste time someone tell nazis nazis juvenile story line rushed juvenile conclusion movie could decide childrens movie adult movie much either awful real disappointment say least save money
positive,remember filmit first film watched cinema picture dark places nervous back dad took brother sister newbury cinema newbury berkshire england recall tigers lots snow film also appearance grizzly adams actor dan haggery think one tigers gets shot dies anyone knows find dvd etc please let knowthe cinema turned fitness club big shame nearest cinema miles away would love hear others seen film like
negative,awful film must real stinkers nominated golden globe taken story first famous female renaissance painter mangled beyond recognition complaint taken liberties facts story good would perfectly fine simply bizarre accounts true story artist would made far better film come dishwaterdull script suppose enough naked people factual version hurriedly capped end summary artists life could saved couple hours would favored rest film brevity
positive,success die hard sequels surprise really glut die hard movies cashed wrong guy wrong place wrong time concept cliffhanger die hard mountain time rescue sly stop mom shoot stallones careercliffhanger one big nitpickers dream especially expert mountain climbing basejumping aviation facial expressions acting skills full excuses dismiss film one overblown pile junk stallone even managed get outacted horse however forget nonsense actually lovable undeniably entertaining romp delivers plenty thrills unintentionally plenty laughsyouve got love john lithgows sneery evilness tick every box band baddies best permanently harassed hapless turncoat agent rex linn travershe may henry portrait serial killer michael rooker noteworthy cringeworthy performance hal insists constantly shrieking painful disbelief captors man never hurt anybody whilst surely really look like ralph waites frank character grinning girl plummets deathmention must go former londons burning actor craig fairbrass brit bad guy comes cropper whilst using hal human football yes help enjoy bit hal needed good kickingso forget better judgement cares could never happen lower acting expectations turn volume enjoy looking qaulen hes one wearing helicopter
negative,terrible misfortune view bmovie entiretyall say save time money got worst bmovie time even called bmovie like fmovie fails aspects make good movie story interesting actors paperthin believable bad direction action sequences fake almost funnyalmostthe movie packed full crappy oneliners respectable person could find amusing least little bitthis movie supposed geared towards men women utterly unattractive especially old wrinkled thing comes towards end try appear sexy weird horrible costumes fail miserablyeven ridiculous bmovies still give laughs painful watch
positive,absolutely stunning movie hrs kill watch regret much fun rajnikanth carries movie shoulders although anything still liked music arrehman takes time grow heard times really start liking
negative,first let us get things straight anime fan always matter fact used watch speed racer time preschool b like several bmovies hilarious c like godzilla movies lotmoving movie first comes seems like going usual bmovie crappy fx sudden boom anime comes movie goes wwwaaaaayyyyy downhillthe animation bad cheap even worse remember speed racer crissakes fact cheap one scenes movie vividly remember bunch kids run school kids fx terrible dinosaurs look worse godzilla addition transition live action animation unorganized dialogue voicesespecially english dub viewed horrid begging dad take tape dvd vhs player thing kept surviving cracking jokes comments like robots joelmike pick season honestly way barely enjoy movie survive timeheck planning show another fellow otaku pal mine halloween bmovie night stupid pretty painful watch unintentionally hilarious time giving movie improvement originally going give itaccording grading scale means pretty much boring bad fun counting three unless find way make fun become fun counting
negative,worst movie saw worldfest also received least amount applause afterwards think receiving recognition based amount known actors film great see jbeals movie minutes mparker much better actress part allowed rest acting hard judge movie ridiculous predictable main character totally unsympathetic therefore bore watch real emotional depth story movie revolving actor get work feel original development cop feels like one many straighttovideo movies saw back even good one standards
positive,karen carpenter story shows little singer karen carpenters complex life though fails giving accurate facts detailscynthia gibb portrays karen fine election good actress plays naive sort dumb karen carpenter think role needed stronger character someone stronger personalitylouise fletcher role agnes carpenter terrific great job karens motherit great songs could included soundtrack album unfortunately though movie top ratings usa several countries
positive,cell exotic masterpiece dizzying trip vast mind serial killer also one talented director conclusive evidence achieved human beings unleash uninhibited imaginations boldness work pushing aside thoughts fall formulas cliches creating something truly magnificent best movie year dateive read numerous complaints film anywhere style substance poorly cast characters bad acting negatively criticize film miss point movie may landmark tradition future movies hopefully follow cell opened door another world imagination slam door face tell director tarsem singh want personally would welcome another movie tarsem would love see someone try challenge himweve heard talk going inside mind serial killer yes agree genre bit overworked full movies trying depict makes serial killers tick worked failed cell blaze trail given new twist physically transported mind presented nothing less fascinating journey mysterious subject matter ever studiedi like movie bog us much scientific jargon trying explain jennifer lopez actually gets enter brain another instead lies laboratory table wrapped looks like really long twizzlers jaunted another entity cell wants let see guess people like true like explanations movies movie ventures onto new ground must let desires simply take ini noticed film dark showed reality maybe contrast bright visuals inside brain another nonetheless set design simply astonishing would surprised film took home oscars cinematography best costumes best director like would least get nominated best pictureive noticed kind repeating nothing else say stress enough fantastic thought cell walk movie open mind taken wonders eyepopping feast assured good time guess film little much people writing weird crazy much psychology imagination human mind right alley leaving theater heard one audience member say whoever made movie sure lot good drugs want smoking
negative,film tried many things stinging political satire hollywood blockbuster sappy romantic comedy family values promo list goes failed miserably enough interest keep turning endalthough appreciate spirit behind war inc depresses see clumsy effort especially taken targets reflect lack existence serious critique rather simply poor writing direction production particular filmthere critique made corporatization war poking fun way diminishes true atrocity happening reminds bit three kings similarly trivializes genuine concern
negative,movie frustrating everything seemed energetic totally prepared good time least thought id able stand wrong first weird looping like watching americas funniest home videos damn parents hated much stereotypical latino family need speak person responsible need talk little girl always hanging someone hated mention final scene transcends must say gloriously bad full badness movie crappy dancing horrible beautiful
positive,war movie hollywood genre done redone many times clichéd dialogue rehashed plot overthetop action sequences seem unavoidable conflict dealing largescale combat however war movie comes along goes grain brings truly original compelling story life silver screen civil warera cold mountain starring jude law nicole kidman renée zellweger filmthen calling cold mountain war movie entirely accurate true enough film opens quite literally quickanddirty battle sequence puts glory director edward zwick shame however cold mountain much civil war period people times story centers around disgruntled confederate soldier inman played jude law becomes disgusted gruesome war homesick beautiful hamlet cold mountain north carolina equally beautiful southern belle left behind ada monroe played nicole kidman first glance setup appears formulaic romantic interest back home gives audience enough sympathy root reluctant soldiers tribulations battlefield indeed earlier segments film relatively unimpressive even somewhat contrivedcold mountain soon takes drastic turn though intrepid hero inman turns deserter incidentally saving audience potentially confusing scenario wanting root confederates begins long odyssey homeward meanwhile back farm adas cultured ways prove little use fields soon transformed something wilderbeast coming adas rescue course toughasnails ruby thewes played renée zellweger helps ada put farm back together perhaps importantly cope loneliness isolation war seems brought upon adawithin two settings vivid compelling times disturbing portrait wartorn south unfolds characters inman ada interact surprisingly complex enhanced wonderful performances brendan gleeson rubys deadbeat father ray winstone unrepentant southern lawman natalie portman deeply troubled isolated young mother greatly affected changed war northern aggression mostly worse dark pervading antiwar message accented effective haunting score chillingly beautiful shots virginia north carolina communicated audience much gruesome battle scenes scarred land traumatized people war fought though weapons tactics war changed much past century hellish effect land timelessly relevantdirector anthony minghella manages maintain gloomy mood film atmosphere unfortunately denigrated rather tepid climax little justice wonderfully formed characters love story inman ada awkwardly tacked onto beginning end film though inherently distant abstracted even absurd nature relationship way fits dismal nature rest plotmake mistake cold mountain neither traits feelgood romance inspiring war drama unique vision era sure entertain also truly absorb audience lives people torn apart war entirely desperate rid terrible repercussions altogether
positive,taut organically gripping edward dmytryks crossfire distinctive suspense thriller unlikely message movie using look devices noir cyclebivouacked washington dc company soldiers cope restlessness hanging bars three end strangers apartment robert ryan drunk belligerent beats host sam levene death happens jewish police detective robert young investigates help robert mitchum assigned ryans outfit suspicion falls second three george cooper vanished ryan slays third buddy steve brodie insure silence young closes inabetted superior script john paxton dmytryk draws precise performances three starring bobs ryan naturally prototypical angry white male hilt mitchum underplays characteristic alert nonchalance role however central young may never better gloria grahame gives first fullyfledged rendition smartmouthed vulnerable tramp sad sack leeched life paul kelly haunts us small peripheral role makes memorablethe politically engaged dmytryk perhaps inevitably succumbs sermonizing pretty much confined youngs reminiscence irish grandfather died hands bigots century earlier thus incidentally stretching chronology limit least attempt render explanation however glib ryan hates jews hillbillies andcuriously crossfire survives even major change wrought upon novel based richard brooks brick foxhole dealt gaybashing murder homosexuality still beyond pale news holocaust however begun emerge ashes europe hollywood felt emboldened register protest antisemitism studios always quaked prospect offending potential ticket buyerbut change homophobia antisemitism works general specifics fit smoothly victims chatting lonesome drunk young soldier inviting back home looks odd even though especially since girlfriend tow raises question whether scenario retained inadvertently left discreet tipoff original engine generating ryans murderous rage
positive,ardh satya one finest film ever made indian cinema directed great director govind nihalani one successful hard hitting parallel cinema also turned commercial success even today ardh satya inspiration leading directors indiathe film tells reallife scenario mumbai police unlike police cities india mumbai police encompasses different system altogether govind nihalani creates practical outlay real life approach mumbai police environmentamongst various police officers colleagues film describes story anand velankar young hotblooded cop coming poor family father harsh police constable anand suffers fathers ideologies incidences fathers atrocities mother anands approach towards immediate action crime inert craving job satisfaction film revolved plot wherein anands constant efforts crime trampled seniorsthis leads frustrations achieve desired jobsatisfaction resulting frustrations anger expressed excessive violence remand rooms bars also turning alcoholicthe spirit within still alive constantly fights system aware system metro police politicians inertly associated far end compromise towards unethical practice negative finally gets suspendedthe direction master piece thoroughly hard core one best memorable scenes anand breaks underworld gangster rama shettys house arrest followed short conversation fantastic many scenes film hairraising momentsthe practical approach script major punch alcoholism corruption political influence courage deceptions integral part mumbai police even today aspects dealt brilliantlyfinally films belongs one man show om puri portraying anand velankar traversing emotions absolutely brilliantly
negative,first exposure templarios good one excited find title among offerings anchor bay video brought us cult classics spider baby print quality excellent alone hide fact film deadly dull thrilling opening sequence villagers exact terrible revenge templars set whole thing motion everything else movie slow ponderous ultimately unfulfilling adding insult injury movie dubbed subtitled promised video jacket
positive,one significant quotes entire film pronounced halfway protagonist mafia middleman titta di girolamo physically nondescript middleaged man originally salerno southern italy introduced start film hes living nonlife elegant sterile hotel italianspeaking canton switzerland last ten years conducting business gradually introduced pivotal yet apparently unremarkable scene takes place employees swiss bank normally count di girolamos cash tell dollars missing usual suitcase full tightly stacked banknotes news quietly icily threatens coaxing bank manager wanting close account meanwhile tells us spectators bluff bluff right end without fear caught appearing ridiculous says bluff halfway tell truth eventually done bluffed halfway told truth accepted consequences life ultimately love exactly reason behind beginning titta di girolamos troubles initially unsympathetic character scowling taciturn curt man verge man even reply kind chambermaids waitresses say hello goodbye becomes one point someone spectator cares deeply one point nonlife titta decides feel concern appearing ridiculous first half film may described slow indeed reveal di girolamos days nights hotel oddly disjoined deliberate pace revealing seemingly mundane irrelevant details however scenes may seemed unnecessary reveal essential masterfully constructed innovative film unfolds eyes existence titta di girolamo man imagination identity life unsympathetic character unexpectedly end loving feeling least thought would also conveyed elegantly edited sequences interesting use music one theme scottish band boards canada especially stood never contrast way hollywood italy treat mobsters odds since release films le conseguenze dellamore limbalsamatore another interesting element way film made use protagonists insomnia unlike machinist far explicit way al pacino film insomnia le conseguenze dellamore uses condition symbolise deeper emotional malaise rammed deep obscurity unconscious almost impossible pinpoint indeed one young sympathetic hotel waitress sofia played olivia magnani granddaughter legendary anna memory tittas best friend man seen years unexpectedly provide tiny window onto life titta eventually though tentatively first accepts look though never explicitly spelt spectator knows man like titta accepting consequences love unimaginable consequences film without single scene sex violence film unfolds time concedes nothing spectators expectations le conseguenze dellamore fine representative small quiet discreet renaissance taking place italian cinema since decline cinecittà second half world waiting italy produce il postinolike fare la vita è bellastyle films neglecting explore fine creations like le conseguenze dellamore limbalsamatore others loss world
negative,watched film really expecting much got pack films pretty terrible way fiver could expect know right terrible movie stretching interesting points occasional camcorder view nice touch drummer like drummer ie damned annoying well actually problem boring assume attempt build tension whole lot nothing happens utterly tedious thumb fast forward button ready press movie gave go seriously lead singer band great looking coz half mention beautiful hell lot thought looked bit like meercat even mentioned killer even going go worth explaining anyway far concerned star london reason watch exception london actually quite funny acting talent certainly seen lot worse also seen lot better best avoid unless bored watching paint dry
negative,bought film blockbuster sounded interesting bit ranmaesque idea someone dragging around skeleton cute girl miniskirt back restricted viewing sticker thought going sweet least sincere coming age story weird indie edge wronghaving watched wonder got restricted sticker since hardly foul language little violence closest thing nudity honestly usually go around hoping girl nightgown see panties see panties lot movie matter wearing miniskirt sort even antireligious humor tame lame caricatured insincere derivative unoriginal worst funny slightestit would better listen ray stevens would jesus wear rolex television show would barely qualify pg rated blockbuster refuses let anyone age rent thisas pornographic little kid could go rent edited version requiem dream insist zack reba worseit wayin way worries methe thing left could offend people idea suicide beginning anybody needs see movies honestly portrayed suicides one better ones like virgin suicides teenagers movies rated r purely suicide aspect little chance turning story writing pg movie main characters eleven half twelve suicide one top three leading causes death teenagers think number chances teens affected itjust say movie though
negative,plot death little children hopper one investigate killings movie appears troubles daughter end serial killer get caught find dunnit see terrible acting actors unbelievable bad actors including hopper could go like much waste time watch movie warned
negative,ever watched movie lost plot well even really one begin withwhere begin achingly tedious scenes heroine sitting around house actually sense menace even foreboding created even apparently constant thunderstorms strangely never actually heard housegreat double glazing house apparently miles town yet several hours walk away third girl serves purpose plot except provide surprisingly quick gory murder tedium becomes unbearable even beginning suggests spate killings throughout area even though apparent killer never ventures far house bizarre ritual salt pepper pretty much sums films inherent lack directionadd lead actress act least willing completely irrelevant nude shower scenes video truly nasty way hopegiven following simply banned uk mostly final surprisingly extended murder offers nothing curiosity value one classic daft murder worryits telegraphed least ten minutes beforeafter walk woods victim comes rather steep upward slope obviously struggle halfway see figure top dressed black brandishing large scythe slide run like rest us course struggle top stand conveniently nice upright front murder weaponit really movie say
positive,okay series kind takes route go week week david morses character helps ride bit pickle wrong david morse one greatest character actors certainly coolest series created david koepp great writer heavendue lack love show many see going season series never know amount rubbish made beyond baffles let us hope something good make past first series
negative,sitting pile dung husband wondered whether actually product experiment see whether computer program could produce movie listless formulaic us propaganda thrown face throughout film provesdisappointinglythat work humans call conspiracy theorist quotes like steal declaration independence protect seem like ways justify actions like invasion iraq etc fact nicholas cage spews lines like would never use declaration independence bargaining chip straight face made husband wonder whether entire cast took valium shooting scene reasoning behind plot turn new clue truly ridiculous impossible follow also bonus side plot misogyny dr whateverhernamewas chided involved never shutting clearly movie looks felt need slap dr title character give gravity one point cages character says ever shut camera pans looking poutily hands like child truly grotesque benefit movie astonishingly bad get laughs really scary thing majority people watching movie us seemed enjoy creepy
negative,clichés movies type substance plot went nowhere end movie felt like sucker watching production good however script acting bmovie quality casting poor good actors mixed crumby actors good actors hold lift others movie worthy words say meet minimum requirement ten lines james wood cuba gooding jr play caricatures movies looking mindless entertainment still would recommend movie
positive,movie based book many splendored thing han suyin tackles issues race relations asians whites topic comes hans personal experiences eurasian growing china background beautiful hong kong settings gives love story unique rather daring atmosphere timeother story stereotypical romance memorable song perhaps remembered movie beautiful jennifer jones looks part gives wonderful oscar nominated performance doctor mixed breed advent communism mainland china william holden never looked better playing romantic lead journalist covering war torn regions world acting top notch chemistry two lovers provides genuine moments silver screen affection sure melt hearts romantically inclinedthe cinematography really brings fiftys hong kong especially hilltop overlooking harbor two lovers spend intimate moments ending real tearjerker may consider sentimental romances passé enjoy classic hollywood love stories shining example
negative,films seen one rage got one worst yet direction logic continuity changes plotscript dialog made cry pain could anyone come something crappy gary busey know b movies sure w movie wwastetake example two dozen fbi local law officers surround trailer house jeep wagoneer inside jeep confused cops within seconds huge gun battle ensues killed straight cops blast away jeep gary company blasting away cops fall like dominoes jeep gary drives around circles hit one single bulletpellet killed gary seems noticeddamn guy tough truly miracle since sixshooter held bullets miracle
negative,heard good things states grace came open mind thought gods army okay thought maybe dutcher improved matured filmmaker film began shaky acting thought well maybe get better unfortunately never picture starts introducing two elders mormon missionaries seems audience get know grow care instead story degenerates highly improbable series unfortunate events highlighting blatant disobedience missionaries something undeniably exists rarely level dutcher portrays becomes almost laughabledutchers success movie successful alienation target audience unrealistically inaccurately portraying lives mormon missionaries dutcher accomplishes nothing angering predominantly mormon audience film way reflects reality missions nothing like dutcher shows served mormon mission attest fact gang life california certainly contains much explicit language occasional mild vulgaritythe conclusion assuming supposed touch audience inspire believe forgiveness available unbelievable cmon entire mission gathers see elder sent home mom girl standing right next cheesy next time dutcher try making movie someone identify
positive,movie struck home remember father working factory figured worked hard pride never gave could american dream house kids car call noted however without degree something unlike father quit ninth grade keen sense greed laziness get anywherei would like know anyone movie dvd vhs made tv saw hour ago ic ant find anywhere id love show friends pseudo friends family relatives see think remind upon time americans would work sake feeling honor pride accomplished think feeling still heavy downward spiral many things made overseas
positive,disclaimer seen movie times last years saw musical week allowed judge movie without tainted musical however tainted watched musical actually believe michael douglas worked quite well role along kasey think let dance scene one best parts movie worthwhile addition compared musical dancers singing movie much superior musical well cast least times bigger easier movie course decors lighting dancing singing also much superior movie expected indeed delivered songs common musical better done movie new ones quite good ones whole movie delivers musical opinion especially compared musical decors one bad point movie obvious cuts actors talking dubbed singers singing portions characters dancing impeccable end product enjoyable musical
negative,protocol implausible movie whose saving grace stars goldie hawn along good cast supporting actors story revolves around ditzy cocktail waitress becomes famous inadvertently saving life arab dignitary story goes downhill halfway movie goldies charm save movie unless goldie hawn fan go way see film
negative,film could classified drama idea john voight mary steenburgen would trying erase cv historically accurate xena hercules abraham moses got melded noah lot abrahams nephew lot turns thousands years would born canaanites wandered earthreally scriptwriters thinking ignorance remember something noah animals lot canaanites stuff sunday school trying offend maximum number people planet possible christians jews muslims historians archaeologists geologists psychologists linguists matter fact anyone get offended anyone even modicum taste would winced one
positive,preston sturgis power glory unseen public nearly twenty thirty years late resurfaced even showed television meantime gained notoriety pauline kaels citizen kane book suggested herman mankiewicz orson welles screenplay kane based sturgis screenplay mentioned beginning thread film imdb web site kael overstated casethere six narrators take turns dealing life charles foster kane newsreel representing ralston henry luce clone thatchers memoirs bernstein jed leland susan alexander kane raymond butler different slant kane reflecting faith disappointment hatred man course also reveals failings telling version kanes story method also leads frequent overlapping retellings incidentthis situation power glory yes like kane legendary business leader tom garner spencer tracy man rose bottom head successful railroad system country two narrators garners right hand man henry ralph morgan wife sarah padden restricts nearly three dimensional view get times kane garner henry narrates talking boss friend respected loved wife like voice skeptical public sees flaws henrytypical example although worked way tom becomes antilabor later years unions troublemakers care slowed shenanigans henry describes toms confrontation union major walkout preoccupied detriment home life henrys wife reminds tom used scabs violence end strike apparently blowing unions headquarters killing many people two views man one pure white one pure blackim really knocking power glory duplicating kanes success films including orson welles films aware story presented well enough hold ones interest end thanks performances tracy colleen moore wife sally tragedy worldly success pair fully brought homewhen marry tom wants well part give wife family benefits never america great business success comes cost tom gets deeply involved running railroad empire expands improves constantly takes away home much loses touch sally also notices eve helen vinson younger woman becomes mistress sally learns unfaithful behavior destroys hersimilarly tom gets full shock makes martyr eyes henry eve marries tom presents son turns eves son toms son tom jr philip trent discovery incestuous cuckolding causes tom shoot himselfthe film total success action jumps times unconvincingly yet make business seem real note scene tom tells board directors plans purchase small rival train line discusses use debentures financing plans sturgis came wealthy background could bring type detail whole first rate film citizen kane perhaps interest movie lovers attempt business realism social commentary depression america
negative,average surprisingly tame fulci giallo means still quite bad normal standards redeemed solid buildup nice touches neat time twist issues visions clairvoyancethe genres wellknown weaknesses full gear banal dialogue wooden acting illogical plot points finale goes much long denouement proves rather lame shall say limp affairfulcis ironic handling giallo norms amusing though yellow clues wherever look limping killers
positive,return chamber one classic kungfu movies shaw produces back whose genre equivalent spaghetti westerns hollywood protagonist gordon liu counterpart westerns clint eastwood digitally remastered new print made fantastic film fest presented shaw scope like good old daysthis film simple story good versus evil told acts less sums narrative martial arts films eraact one sets premise workers dyemill small village unhappy lot wages cut incoming manchu gangsters much exploitation none martial arts skilled take gangsters boss first minor success getting liu impersonate highly skilled shaolin monk one best comedy sequences rouse got exposed pushed limit credibility impersonating one many timesact two shows protagonist wanting get back mob however without real martial arts embarks journey shaolin temple try infiltrate learn martial arts sly slapstick moments finally gets accepted abbot impersonated disappointed teaching methods kind like mr miyagis style karate kid instead painting fences gets erect scaffoldings around temple nothing keep good man unwittingly builds strength endurance learns kungfu unorthodox wayact three fight fest begins cheesy sound effects obvious noncontact film given maximum impact treatment rather refreshing watching fight scenes wide angled shots highlight clarity detail sparring partners use slowmotion showcase stunts different angles may find speed fights tad slow pause moves yuen wo ping style used adnausem hollywood flicks sure make fight scenes like used return chamber gets repeat screening monday game nostalgic trip memory lane waiting
positive,spoilers real life well movies familiar story happens many young men put war zone gun rifle hands case young innocent never handling firing gun jimmy davis franchot tone repeated thousands times centuries men like jimmy davis forced take arms countryjimmy first wanted kicked us army encouraged stay belted mouth good friend fred p willis spencer tracy ended front lines france jimmys unit pinned german machine gun nest single handedly put commission picking half dozen german soldiers safety nearby church steeple jimmy gunned last surviving german raised arms surrender artillery hit steeple seriously wounding himrecovering wounds army hospital jimmy fell love us army volunteer nurse rose duffy gladys george rose really love jimmys good friend happy go lucky fred despite obnoxious antics towards fred lost fighting western front rose thinking killed fell love later married jimmy fred unexpectedly showed french town jimmy fully recovered wounds stationed things got sticky rose already accepted jimmys proposal marriage herwith wwi jimmy marrying rose left fred still love bitter resentful young man almost accident fred ran jimmy streets new york city discovered shock surprise completely changed meek nonviolent person knew sent war european western front smug sure ability shoot gun jimmy become top mobster new york citys underworld fred later found wife rose idea jimmy really involved jimmy telling works law abiding inoffensive insurance adjusterjimmys life crime came full circle rose found secret life ratted police prevent executing valentine day like massacre gang members dressed cops rival mobsters trial jimmy came senses admitted guilt willing face music three year sentence get life back together spoiler alert hearing rumors fellow convicts rose best friend fred affair behind back jimmy broke prison ending fugitive law freds circus works manger barker jimmy seeing rose well fred true like trial sudden change heart thought going back prison least another ten years added sentence much jimmy jimmy decided end letting police tracked job heart
positive,bela lugosi appeared several low budget chillers monogram studios corpse vanishes one better onesbela plays mad scientist kidnaps young brides kills extracts fluid bodies keep ageing wife looking young reporter doctor stay night home discover responsible brides deaths following morning report murders police mad scientist shot drops dead shortly afterwardsyou got almost everything movie scientists assistants consist old hag hunchback dwarf sons thunderstorm spooky passages belas house bela wife find sleep better coffins rather beds moviethe corpse vanishes worth look especially bela lugosi fans great funrating stars
positive,believe enjoyed much anthology stories better par linking story surprise ending hooked alot familiar faces keep asking seen forget running time listed new lines tape minutes according vcr timer imdb space maggot douses campfire special way hikes
